A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
74,-2.159.610.389,-1.295.959.495,-1.732.435.214,80.724.492,-195.961.421,2.723.039.718,-147.788.311,bad
75,2.160.591.551,-1.608.127.507,-3.149.539.978,1.354.258.442,2.169.308.776,561.455.393,1.466.043.609,good
76,2.249.782.051,130.681.125,-3.362.142.903,-3.292.343.017,1.536.373.323,2.322.693.886,171.703.758,good
77,913.367.079,238.227.626,-86.645.313,411.078.967,777.247.078,-690.557.676,269.081.521,bad
78,-2.178.068.955,711.060.019,-2.723.528.183,-79.461.916,1.371.632.238,2.661.669.238,-143.801.903,bad
79,-21.674.624,-172.966.774,1.292.344.082,2.343.027.022,313.248.004,-90.759.004,-178.744.711,bad
80,1.906.895.248,-286.557.035,-642.276.275,-909.686.603,56.727.051,447.676.716,2.331.284.997,good
81,-2.451.373.743,-2.460.445.365,3.310.559.586,1.100.072.267,1.667.256.216,-1.057.985,-908.360.248,good
82,2.355.047.056,-805.007.082,-4.046.869.242,-621.273.549,2.721.016.877,1.403.612.449,-1.735.117.708,bad
83,141.034.947,-6.235.107.041,60.667.877,2.781.526.465,188.419.279,-1.655.568.486,1.787.465.613,good
84,175.626.858,-2.078.246.123,-1.347.003.072,1.570.705.713,205.594.839,333.230.319,-159.879.504,good
85,-490.313.544,-2.693.594.239,-2.262.928.126,1.408.218.703,894.130.314,4.097.052.626,-1.192.975.776,bad
86,1.889.651.879,-1.234.884.586,-2.003.226.871,1.618.220.275,360.724.332,2.712.213.587,124.914.362,good
87,523.551.092,-785.293.429,307.177.459,-773.882.387,1.220.446.256,-1.329.702.358,1.355.485.212,good
88,-144.761.768,-40.082.252,-2.015.819.355,519.147.662,92.156.357,263.835.347,-52.902.919,bad
89,1.288.315.468,118.324.055,-203.989.032,1.254.207.548,421.780.581,273.822.524,64.352.175,bad
90,516.948.121,643.780.506,-2.752.877.948,1.265.938.234,714.290.184,1.041.064.133,-2.967.415.983,good
91,-629.540.613,-116.111.198,-33.009.969,930.469.883,2.087.489.482,369.549.864,-4.560.905.342,good
92,-691.713.124,-2.431.340.292,-909.663.545,2.428.320.647,242.079.363,2.313.575.569,1.285.942.944,bad
93,-2.090.430.519,-2.261.319.641,3.822.713.915,-512.140.853,660.595.132,663.423.371,-1.714.085.315,good
94,97.397.568,-2.090.139.656,-5.018.889.094,173.397.255,1.524.662.353,5.278.448.329,-1.700.396.069,bad
95,1.372.602.617,-81.619.118,-1.138.033.248,1.948.956.568,-222.231.916,-561.915.322,165.215.817,good
96,-618.111.889,-2.131.703.542,-1.580.025.186,-195.316.309,3.625.676.756,3.259.309.401,-1.633.641.993,bad
97,180.336.603,-976.044.046,-154.691.943,926.305.296,313.968.117,-683.222.706,3.401.455.383,good
98,-201.342.768,579.131.757,-2.126.035.342,3.129.284.882,-4.401.848.909,-552.627.575,-2.249.965.831,good
99,-1.159.324.283,723.172.074,-40.253.594,-748.296.452,677.957.479,125.184.885,-2.146.023.387,good
100,-1.581.378.996,-759.501.459,135.359.641,1.881.819.633,1.998.052.361,729.362.217,286.883.321,good
101,-1.111.426.668,-2.084.750.358,2.519.879.958,918.003.904,1.377.124.216,937.208.835,-894.186.563,good
102,-1.921.823.652,-3.481.362.426,441.475.743,1.777.523.431,-283.584.197,82.291.936,-3.504.485.228,bad
103,-196.733.108,77.615.106,271.438.354,695.994.122,2.157.869.261,-70.030.044,-1.521.261.721,good
104,-1.572.555.914,-9.042.436,1.969.436.236,1.884.461.994,977.655.875,-655.248.809,2.127.518.998,bad
105,-426.619.219,-1.436.843.963,-660.813.891,-560.818.317,-1.871.932.248,1.269.263.936,-1.751.339.472,bad
106,-725.181.296,-1.447.133.711,1.840.994.287,3.086.182.479,2.229.221.836,555.091.226,3.040.761.752,good
107,1.307.057.369,-2.355.362.326,-147.080.157,-1.043.470.187,1.835.902.543,113.930.514,-55.333.999,good
108,137.097.813,-3.035.084.729,-440.600.718,1.444.977.828,-3.824.202.947,85.011.358,-1.611.571.284,bad
109,1.646.001.232,-3.027.517.619,250.956.223,965.901.296,-1.553.907.902,2.084.908.726,-474.934.654,bad
110,1.438.906.462,-1.219.056.994,-337.509.507,-394.803.416,-1.117.118.275,3.082.653.988,-1.746.685.633,good
111,-1.213.074.179,-24.908.012,-2.478.363,2.509.596.721,1.498.529.064,755.573.897,-362.616.748,good
112,1.051.510.414,-4.311.975.447,-1.399.048.336,-2.791.214.794,4.268.753.723,501.451.971,161.098.811,good
113,-2.030.890.826,-1.642.489.803,-557.159.577,481.269.904,1.198.923.061,-83.993.546,5.381.199.793,bad
114,-1.712.198.696,-2.529.664.978,-2.066.911.436,443.358.568,354.650.754,1.021.727.292,5.170.171.939,bad
115,104.978.369,-1.600.940.028,-787.057.496,234.568.665,2.323.311.417,530.314.357,1.789.687.083,bad
116,-1.051.734.165,-3.067.908.145,-2.904.858.823,-622.345.331,3.705.094.866,3.241.975.298,639.425.812,bad
117,-1.447.494.934,-1.136.977.946,-836.801.233,1.932.464.027,-1.512.099.553,801.874.172,2.669.102.823,bad
118,-3.010.134.336,1.548.268.357,-568.293.032,209.247.169,2.317.043.914,-1.242.233.911,-2.727.464.441,good
119,-591.987.065,-2.618.652.027,-1.073.478.951,1.114.681.034,-2.536.374.537,175.475.805,-1.660.639.485,bad
120,-3.835.874.261,-838.795.598,1.412.859.983,2.251.267.651,-343.720.948,946.562.081,166.131.914,bad
121,-776.404.994,-116.796.706,-1.813.091.624,1.241.549.833,-577.928.389,13.258.787,224.019.932,bad
122,-3.202.902.826,-849.827.194,-1.106.207.159,473.819.325,-23.440.485,2.356.287.012,-1.590.747.921,bad
123,695.632.239,-1.669.059.782,-1.442.125.181,2.189.043.678,-2.767.055.359,764.050.341,-12.163.975,bad
124,89.707.401,-2.249.989.911,-2.673.620.318,2.762.214.054,35.969.561,-903.596.811,-1.456.133.779,good
125,-2.229.105.842,-1.097.255.857,3.589.921.649,140.221.663,1.563.118.086,-161.918.178,-1.335.152.047,good
126,-2.245.482.916,-47.701.365,250.696.269,771.605.049,2.243.000.186,-687.586.724,3.378.856.539,bad
127,-3.715.530.466,2.641.572,1.683.646.065,94.039.461,3.192.435.018,-1.013.795.897,443.608.798,bad
128,-2.454.612.376,-386.469.591,-1.073.484.764,914.051.503,1.925.401.868,2.438.000.463,338.913.734,bad
129,-1.162.845.918,-1.416.945.478,440.112.947,2.653.944.392,-95.678.282,-95.044.423,3.145.872.884,bad
130,-3.423.662.708,-1.835.010.061,79.489.908,-557.657.446,4.606.234.531,177.582.667,3.766.012.647,bad
131,174.387.082,1.632.728.712,-1.279.297.479,2.758.798.983,-2.420.213.906,-214.932.142,2.064.118.217,good
132,-2.267.533.079,-995.608.169,2.254.678.222,-620.752.464,-772.808.023,1.336.250.891,-320.548.874,good
133,4.420.781.942,-2.547.671.341,-1.756.285.833,901.810.165,-41.284.149,1.987.165.436,1.613.529.813,good
134,132.455.297,-3.037.876.516,-2.464.537.418,1.619.229.919,300.120.344,2.110.550.784,-3.408.117.425,bad
135,1.482.288.925,-107.158.332,-746.690.054,-561.767.309,2.996.683.488,-907.478.278,2.288.403.252,good
136,19.720.454,-591.226.131,-1.739.235.973,1.208.279,695.052.559,-18.453.271,1.307.264.909,bad
137,263.844.265,-2.896.271.718,-157.614.476,-184.619.255,-2.848.897.253,40.465.954,-304.217.039,bad
138,-820.988.945,934.444.962,-1.336.150.538,218.383.263,632.514.819,1.420.930.219,2.434.754.044,good
139,31.054.092,563.083.299,380.777.887,1.308.722.315,317.110.162,435.548.896,-2.336.331.708,good
140,1.096.306.694,-2.511.438.246,-3.217.207.284,1.956.905.463,-1.502.347.429,2.892.814.192,-946.008.716,bad
141,-25.046.086,-310.825.316,-1.138.621.602,1.002.183.537,-2.206.212.956,181.162.049,-3.692.780.634,bad
142,1.259.488.062,-557.897.892,-2.578.773.172,-488.970.287,2.581.218.915,-232.605.116,489.466.669,bad
143,-1.081.714.895,-128.446.068,92.911.562,223.528.499,-550.942.521,300.268.219,638.823.121,bad
144,-1.117.420.987,-1.379.325.233,-1.274.428.562,484.136.657,1.478.881.722,1.372.509.488,1.721.389.057,bad
145,-3.570.020.052,-1.557.671.942,397.887.599,287.215.334,4.264.960.529,1.046.411.866,421.395.771,bad
146,1.348.563.992,-2.629.308.349,688.814.575,4.579.679.142,3.793.939.947,178.613.673,-414.499.767,good
147,-1.528.953.268,-2.205.766.019,2.315.552.145,1.345.569.372,3.644.528.254,-297.462.663,-2.386.929.328,good
148,1.460.308.911,1.892.238.181,-1.421.187.896,-421.416.349,514.115.397,231.571.255,338.751.734,good
149,375.263.094,-1.445.870.732,-1.181.046.758,2.601.463.324,2.827.291.819,1.732.763.933,160.008.799,good
150,1.187.548.188,-3.488.738.179,-24.981.539,1.056.351.322,2.167.240.994,-140.784.869,1.191.130.833,good
151,-2.462.903.545,-56.298.005,-2.128.611.939,2.105.099.597,-3.970.096.582,642.830.033,-268.954.307,bad
152,192.116.931,1.363.093.766,-10.482.675,-1.511.940.374,-659.624.142,2.737.156.973,-187.720.712,good
153,-3.807.691.336,218.192.462,147.690.846,-15.662.125,3.141.111.879,216.348.362,3.133.728.152,bad
154,-1.686.955.832,-2.204.779.193,521.074.661,700.608.712,-1.900.296.944,541.469.431,-2.179.682.618,bad
155,-3.918.492,-289.518.756,2.678.073.186,-1.298.396.226,766.755.063,360.116.105,-2.206.017.085,good
156,1.949.866.355,-78.061.046,-3.134.467.206,115.946.901,418.511.509,-1.729.952.765,1.378.138.082,bad
157,-1.875.731.895,-1.104.573.125,106.934.755,2.808.359.421,-2.198.678.855,181.962.532,99.814.677,bad
158,471.148.646,-1.879.177.608,-3.945.108.574,457.821.962,1.827.044.676,2.926.514.012,151.744.842,bad
159,8.339.314,-258.309.041,-589.022.384,2.216.558.601,2.347.407.105,-439.727.813,-4.797.638.853,good
160,-3.023.822.478,-847.654.554,-3.926.479.139,630.642.487,-3.392.707.898,4.042.267.742,-760.862.459,bad
161,3.256.911.049,976.144.038,-403.344.001,62.978.733,-4.283.277.957,-5.864.598.918,3.499.264.098,bad
162,60.095.618,-1.304.680.848,785.337.141,177.135.522,1.123.839.658,1.413.786.932,2.347.861.337,good
163,1.360.929.382,-96.968.507,-2.874.481.807,905.055.776,-131.909.036,135.906.234,1.612.088.232,bad
164,-1.338.021.204,-414.034.255,-1.038.987.796,2.193.987.982,339.238.297,2.055.288.914,-240.021.926,bad
165,-348.624.748,1.836.154.471,-191.222.937,3.549.381.795,-850.150.689,-3.651.885.426,1.656.620.737,bad
166,-915.869.276,-2.117.531.246,-722.324.515,2.038.503.324,-1.550.706.333,245.530.978,-2.058.734.686,bad
167,648.402.541,-597.957.787,-348.551.625,1.205.653.487,685.866.506,2.032.251.339,-2.212.947.993,good
168,221.434.852,-29.326.384,-1.643.311.119,3.375.367.909,-310.931.919,-733.331.668,1.010.299.062,good
169,-2.165.809.285,-2.176.449.345,2.300.174.059,-551.487.323,-902.726.119,276.263.541,-2.031.178.367,good
170,892.740.511,-2.570.260.056,686.402.779,2.202.009.135,-332.587.693,-184.103.477,1.402.970.488,good
171,-2.628.903.261,-2.051.180.555,-1.242.758.926,28.318.851,-47.431.424,1.340.058.514,2.258.237.957,bad
172,-125.752.474,24.644.668,3.255.809,1.456.974.463,-178.901.872,2.083.774.003,-131.763.548,good
173,-784.981.331,-2.564.694.602,-2.836.161.957,1.629.181.923,-846.003.106,5.548.138.248,-2.178.990.218,bad
174,268.229.651,-1.157.147.229,2.571.969.295,-329.584.616,-1.242.081.671,2.226.250.142,304.163.101,good
175,-3.005.490.261,-487.316.731,224.018.426,-952.809.122,1.930.097.417,-252.653.951,-2.337.145.932,bad
176,168.387.841,-2.242.187.311,2.246.057.204,1.356.224.587,-1.252.226.707,-1.720.518.508,-961.003.564,bad
177,-1.080.276.744,1.244.658.574,121.506.728,-812.246.149,-62.306.598,-277.077.972,-1.977.000.824,good
178,-3.075.078.731,-1.516.497.512,-1.668.607.355,17.190.714,1.103.576.195,3.378.228.149,-1.593.958,bad
179,443.371.969,-2.637.919.054,319.253.124,2.622.455.078,2.551.202.269,1.188.443.399,-101.323.595,good
180,2.181.240.068,-2.280.900.032,471.697.078,2.992.732.794,-991.189.052,2.617.760.127,2.560.803.351,good
181,-1.618.411.896,-2.896.226.814,3.299.581.555,1.411.916.324,1.359.808.992,900.346.665,157.979.193,good
182,-2.555.517.069,-517.085.125,-931.773.343,-1.083.535.822,638.363.982,3.299.071.102,-1.136.878.191,bad
183,-2.456.224.718,-1.300.668.395,190.372.355,-329.152.285,640.678.341,325.072.927,-2.568.301.692,good
184,-4.968.508.091,-814.306.344,-481.642.861,181.428.028,1.347.888.899,3.772.846.884,1.951.705.686,bad
185,-307.073.326,-1.550.695.072,-476.534.958,-1.648.888.502,4.753.762.729,2.603.039.417,2.597.690.447,bad
186,-162.359.989,1.667.150.674,-1.004.611.802,-173.799.019,-2.276.911.981,91.422.704,2.056.639.697,bad
187,-2.743.304.348,-1.214.042.748,-1.989.254.772,-650.297.674,-495.183.534,3.849.168.921,-1.865.832.708,bad
188,-265.336.393,-1.616.297.644,2.625.948.508,195.550.555,2.423.620.841,-194.978.796,-3.940.779.763,good
189,-2.684.927.932,-1.374.554.151,1.014.252.339,-83.819.478,1.661.636.915,2.814.118.944,-765.000.312,bad
190,-433.011.417,-1.473.763.868,1.062.339.037,988.938.696,219.544.502,2.118.380.707,924.712.224,good
191,2.924.428.979,-928.250.862,-466.314.002,-547.998.692,2.730.188.913,1.898.161.594,-237.263.801,good
192,-1.711.440.159,620.783.857,-733.591.501,-351.416.416,-1.095.210.862,1.754.156.022,859.773.406,bad
193,-2.133.101.288,-739.687.703,-748.786.782,474.687.947,1.771.861.564,1.257.156.655,260.288.653,bad
194,-2.937.618.954,-707.787.835,1.111.767.952,697.300.735,991.532.995,388.504.227,848.923.139,bad
195,130.099.058,-1.285.592.981,443.454.862,1.216.461.107,411.152.616,-3.548.540.692,4.169.748.166,bad
196,-815.840.338,-301.607.054,-1.498.001,-384.303.701,-1.081.998.656,2.344.492.477,-493.978.613,good
197,-1.674.179.974,396.477.028,1.075.878.215,1.092.842.357,1.384.085.548,-199.555.485,-404.406.676,bad
198,-1.776.972.339,-1.877.025.092,-698.024.434,-246.476.001,2.475.935.508,818.841,5.011.310.465,bad
199,-3.976.937.188,-1.876.774.175,-103.705.872,1.482.253.754,-416.406.564,1.765.280.919,2.718.979.289,bad
200,-1.193.551.717,-1.484.548.885,-1.682.801.417,-255.826.272,1.888.296.732,1.369.561.333,1.640.197.921,bad
201,-4.389.864.451,185.576.339,2.327.504.128,949.380.586,2.207.851.054,288.004.605,3.761.634.732,bad
202,110.364.773,-3.016.143.154,2.019.128.766,1.746.410.622,2.761.662.424,-3.302.013.877,2.874.555.906,good
203,-2.840.872.316,358.602.795,-3.130.451.219,-184.855.661,-47.626.658,4.057.415.096,-157.130.678,bad
204,237.405.908,-743.632.082,1.892.783.174,1.366.006.813,126.545.143,1.023.981.506,1.095.010.268,good
205,99.322.411,-2.018.287.273,-1.592.637.735,2.015.768.102,-1.482.077.353,86.335.326,-1.710.943.166,bad
206,-432.795.266,-870.679.378,-254.843.673,357.468.703,3.327.595.177,2.483.676.106,1.795.992.671,bad
207,4.490.970.426,-329.475.368,-1.274.028.186,3.159.289.343,4.450.735.119,-2.135.571.344,268.904.126,good
208,944.946.387,-3.321.490.816,2.967.918.114,78.198.691,-965.456.653,2.648.436.337,-502.763.647,good
209,-96.138.762,-1.260.524.287,-3.246.894.069,-754.798.811,-243.771.259,42.425.723,-215.334.928,bad
210,-663.819.761,-801.457.205,24.577.009,3.526.233.012,178.173.561,1.010.057.321,9.389.107,good
211,-62.355.088,-1.324.635.095,-1.782.416.628,-346.282.538,-937.751.568,863.851.426,-2.835.235.275,bad
212,2.350.002.523,-3.968.238.891,-1.101.896.158,-252.426.432,1.596.184.873,1.786.295.441,2.141.838.373,good
213,-592.137.016,-62.311.514,-523.055.298,213.743.587,3.075.803.941,-347.275.147,-3.045.678.368,good
214,-112.376.402,-1.662.628.406,3.388.158.228,2.151.275.882,1.799.548.828,-1.995.137.818,-1.484.347.485,bad
215,2.611.908.541,-922.059.236,-2.196.896.271,3.533.210.216,-921.278.112,-15.431.999,1.617.889.109,good
216,-458.837.875,-936.624.637,-802.757.694,1.559.549.736,16.766.578,1.917.121.565,-348.891.561,good
217,1.566.665.946,868.559.307,-44.273.458,-716.642.918,1.768.542.663,-872.781.355,2.684.720.448,good
218,98.974.981,-1.534.063.659,-40.387.881,3.183.796.452,13.800.971,-2.544.187.232,28.020.656,good
219,-271.070.252,-2.515.852.845,2.342.917.722,699.965.346,356.715.611,1.941.893.883,-1.652.992.023,good
220,305.715.131,-481.595.147,-114.756.951,2.181.975.514,3.879.569.217,-3.675.563.415,176.244.588,good
221,1.759.646.182,1.687.754.544,-154.410.097,-189.445.092,-808.630.725,1.416.235.265,837.999.604,good
222,546.615.891,-900.337.395,-1.019.420.475,2.548.862.598,569.765.188,-1.564.120.354,1.913.664.613,good
223,-511.163.804,-1.647.558.803,2.070.183.589,-3.127.340.177,3.447.141.281,-2.435.723.268,1.182.446.876,good
224,62.483.913,-786.826.053,907.733.248,-350.257.037,653.573.382,-1.480.451.415,2.569.365.201,good
225,-2.002.139.587,-2.625.820.278,-908.798.685,-1.780.175.222,1.197.048.603,3.678.592.367,-4.434.327.674,bad
226,585.207.822,-1.480.399.294,-1.530.431.723,159.253.166,2.212.905,-46.626.258,1.508.887.162,bad
227,-1.052.877.902,-3.290.994.071,-4.056.301.117,-709.076.386,-3.598.392.202,2.095.930.648,-646.098.926,bad
228,-1.784.148.948,-1.101.581.555,703.585.651,4.190.644.903,2.960.538.584,14.368.442,113.433.461,good
229,-1.244.296.851,248.019.952,-23.055.755,1.667.680.996,-2.818.316.838,-1.965.340.223,-24.524.675,bad
230,-1.286.279.883,1.105.420.521,-3.156.926.835,1.973.857.598,223.007.322,1.442.712.771,814.293.361,bad
231,-2.619.934.121,-2.222.209.762,3.210.162.135,3.198.226.854,4.005.136.612,-869.893.384,-630.160.574,good
232,-49.213.489,6.223.973,-564.329.536,1.539.068.935,2.351.554.598,-2.511.339.401,141.309.275,good
233,129.829.612,-333.265.511,-1.853.063.716,-55.402.475,3.748.343.007,-1.126.858.125,-486.259.057,bad
234,-150.483.579,-60.984.849,-1.535.147.411,1.821.917.704,-1.006.640.427,2.052.719.703,53.068.575,bad
235,-4.988.465.994,-190.696.332,3.451.440.068,-75.969.263,1.726.144.265,-85.910.578,-1.854.692.443,good
236,-2.343.340.236,-618.778.362,-454.250.555,1.197.642.013,1.102.016.695,2.853.788.827,675.495.193,bad
237,124.122.406,-1.248.310.169,-763.911.942,1.885.789.289,-1.160.479.836,645.470.205,-251.871.449,bad
238,3.062.485.208,-168.910.991,-1.458.126.528,3.228.027.575,-1.221.682.748,-1.766.620.523,1.123.206.738,bad
239,-903.390.631,-6.481.297,-185.797.724,1.905.665.353,-1.323.631.982,-237.555.458,-635.232.848,bad
